recipe_id,category_name
2870677,Vegetarian
2870677,Dressings & marinades
2870677,Stews & one-pot meals
2870677,Middle Eastern
2870677,Main course
2870678,Dressings & marinades
2870678,"Bread & rolls, savory"
2870678,Appetizers / starters
2870679,Gluten-free
2870679,"Cakes, large"
2870679,Baked & steamed desserts
2870679,Dessert
2870680,Ice cream & frozen desserts
2870680,Dessert
2870681,"Cakes, large"
2870681,Frostings & fillings
2870681,Dessert
2870682,"Mousses, trifles, custards & creams"
2870682,English
2870682,Dessert
2870683,"Mousses, trifles, custards & creams"
2870683,Candy / sweets
2870683,Dessert
2870684,Ice cream & frozen desserts
2870684,Dessert
2870685,"Cakes, large"
2870685,Frostings & fillings
2870685,Dessert
2870686,Easter / Lent
2870686,"Bread & buns, sweet"
2870686,Afternoon tea
2870686,Breakfast / brunch
2870687,"Pies, tarts & pastries"
2870687,Italian
2870687,Dessert
2870688,Baked & steamed desserts
2870688,Sauces for desserts
2870688,Dessert
2865574,Cooking for 1 or 2
2865574,"Pasta, doughs & sauces"
2865574,Quick / easy
2865574,Main course
2865575,Vegetarian
2865575,Cooking for 1 or 2
2865575,Quick / easy
2865575,"Pasta, doughs & sauces"
2865575,Main course
2865577,Cooking for 1 or 2
2865577,"Pasta, doughs & sauces"
2865577,Quick / easy
2865577,Italian
2865577,Main course
2865579,Vegetarian
2865579,Cooking for 1 or 2
2865579,Spring
2865579,"Pasta, doughs & sauces"
2865579,Quick / easy
2865579,Italian
2865579,Main course
2865580,Cooking for 1 or 2
2865580,"Pasta, doughs & sauces"
2865580,Quick / easy
2865580,Main course
2865581,Vegetarian
2865581,Cooking for 1 or 2
2865581,"Pasta, doughs & sauces"
2865581,Quick / easy
2865581,Main course
2865582,Vegetarian
2865582,Cooking for 1 or 2
2865582,"Pasta, doughs & sauces"
2865582,Quick / easy
2865582,Main course
2865583,Cooking for 1 or 2
2865583,"Pasta, doughs & sauces"
2865583,Quick / easy
2865583,Main course
2865584,Cooking for 1 or 2
2865584,Quick / easy
2865584,"Pasta, doughs & sauces"
2865584,Main course
2865586,Cooking for 1 or 2
2865586,"Pasta, doughs & sauces"
2865586,Quick / easy
2865586,Main course
2865588,Cooking for 1 or 2
2865588,"Pasta, doughs & sauces"
2865588,Quick / easy
2865588,Italian
2865588,Main course
2865589,Vegetarian
2865589,Cooking for 1 or 2
2865589,"Pasta, doughs & sauces"
2865589,Quick / easy
2865589,Main course
2865590,Cooking for 1 or 2
2865590,Quick / easy
2865590,"Pasta, doughs & sauces"
2865590,Main course
2865591,Christmas
2865591,Cooking for 1 or 2
2865591,"Pasta, doughs & sauces"
2865591,Quick / easy
2865591,Main course
2865593,Vegetarian
2865593,Cooking for 1 or 2
2865593,Quick / easy
2865593,"Pasta, doughs & sauces"
2865593,Italian
2865593,Main course
2865594,Vegetarian
2865594,Quick / easy
2865594,Salads
2865594,Main course
2865596,Vegetarian
2865596,"Pasta, filled"
2865596,Quick / easy
2865596,Main course
2865597,Vegetarian
2865597,Salads
2865597,Quick / easy
2865597,Main course
2865599,Vegetarian
2865599,Soups
2865599,Quick / easy
2865600,Vegetarian
2865600,Quick / easy
2865600,"Pasta, baked"
2865600,Main course
2865601,Vegetarian
2865601,Cooking for 1 or 2
2865601,Pizza & calzones
2865601,Quick / easy
2865601,Main course
2865603,Vegetarian
2865603,Quick / easy
2865603,Rice dishes
2865603,Main course
2865606,Vegetarian
2865606,Winter
2865606,Salads
2865606,Quick / easy
2865606,Main course
2865606,Side dish
2865608,Cooking for 1 or 2
2865608,Quick / easy
2865608,"Pasta, doughs & sauces"
2865608,Main course
2865612,Vegetarian
2865612,Pizza & calzones
2865612,Quick / easy
2865612,Main course
2865614,Vegetarian
2865614,Salads
2865614,Quick / easy
2865614,Main course
2865614,Side dish
2865616,Vegetarian
2865616,Quick / easy
2865616,Side dish
2865618,Vegetarian
2865618,Quick / easy
2865618,Stews & one-pot meals
2865618,Main course
2865620,Vegan
2865620,Vegetarian
