recipe_id,author_id
2858475,12631
2858475,79186
2858477,12631
2858477,79186
2858479,12631
2858479,79186
2858486,12631
2858486,79186
2858487,12631
2858487,79186
2858490,12631
2858490,79186
2858491,12631
2858491,79186
2858492,12631
2858492,79186
2858493,12631
2858493,79186
2864518,12631
2864518,79186
2864520,12631
2864520,79186
2864523,12631
2864523,79186
2864575,12631
2864575,79186
2864585,12631
2864585,79186
2870609,12631
2870609,79186
2870610,12631
2870610,79186
2870611,12631
2870611,79186
2870612,12631
2870612,79186
2870613,12631
2870613,79186
2870614,12631
2870614,79186
2870615,12631
2870615,79186
2870616,12631
2870616,79186
2870617,12631
2870617,79186
2870618,12631
2870618,79186
2870619,12631
2870619,79186
2870620,12631
2870620,79186
2870621,12631
2870621,79186
2870622,12631
2870622,79186
2870623,12631
2870623,79186
2870624,12631
2870624,79186
2870625,12631
2870625,79186
2870626,12631
2870626,79186
2870627,12631
2870627,79186
2870628,12631
2870628,79186
2870629,12631
2870629,79186
2870630,12631
2870630,79186
2870631,12631
2870631,79186
2870632,12631
2870632,79186
2870633,12631
2870633,79186
2870634,12631
2870634,79186
2870635,12631
2870635,79186
2870636,12631
2870636,79186
2870637,12631
2870637,79186
2870638,12631
2870638,79186
2870639,12631
2870639,79186
2870640,12631
2870640,79186
2870641,12631
2870641,79186
2870642,12631
2870642,79186
2870643,12631
2870643,79186
2870644,12631
2870644,79186
2870645,12631
2870645,79186
2870649,12631
2870649,79186
2870650,12631
2870650,79186
2870651,12631
2870651,79186
2870652,12631
2870652,79186
2870655,12631
2870655,79186
2870656,12631
2870656,79186
2870657,12631
2870657,79186
2870658,12631
2870658,79186
2870659,12631
2870659,79186
2870660,12631
2870660,79186
2870661,12631
2870661,79186
2870662,12631
2870662,79186
2870663,12631
2870663,79186
2870664,12631
2870664,79186
2870666,12631
2870666,79186
2870667,12631
2870667,79186
2870670,12631
2870670,79186
2870671,12631
2870671,79186
2870672,12631
2870672,79186
2870673,12631
2870673,79186
2870674,12631
2870674,79186
2870675,12631
2870675,79186
2870676,12631
2870676,79186
2870677,12631
2870677,79186
2870678,12631
2870678,79186
2870679,12631
2870679,79186
2870680,12631
2870680,79186
2870681,12631
2870681,79186
2870682,12631
2870682,79186
2870683,12631
2870683,79186
2870684,12631
2870684,79186
2870685,12631
2870685,79186
2870686,12631
2870686,79186
2870687,12631
2870687,79186
2870688,12631
2870688,79186
2865574,956
2865575,956
2865577,956
2865579,956
2865580,956
2865581,956
2865582,956
2865583,956
2865584,956
2865586,956
2865588,956
2865589,956
2865590,956
2865591,956
2865593,956
2865594,956
2865596,956
2865597,956
2865599,956
2865600,956
2865601,956
2865603,956
2865606,956
2865608,956
2865612,956
2865614,956
2865616,956
2865618,956
2865620,956
2865622,956
2865624,956
2865627,956
2865630,956
2865633,956
2865634,956
2865635,956
2865639,956
2865641,956
2865644,956
2865646,956
2865648,956
2865653,956
2865655,956
2865657,956
2865659,956
2865853,956
2865854,956
2865855,956
2865856,956
2865857,956
2865858,956
2865859,956
2865860,956
2865861,956
2865862,956
2865863,956
2865864,956
2865865,956
2865866,956
2865867,956
2865868,956
2865870,956
2865869,956
2865871,956
2865872,956
2865873,956
2865885,956
2865887,956
2865888,956
2865889,956
2865891,956
2865892,956
2865906,956
2865908,956
2865909,956
2865910,956
2865911,956
2865913,956
2865914,956
2865916,956
2865917,956
2866015,956
2866018,956
2866019,956
2866020,956
2866021,956
2866022,956
2866023,956
2866024,956
2866026,956
2866027,956
2866064,956
2866066,956
2866069,956
2866072,956
2866074,956
2866076,956
2866077,956
2866079,956
2866081,956
2866082,956
2866084,956
2866086,956
2866087,956
2866091,956
2866092,956
2866096,956
2866099,956
2866102,956
2866106,956
2866109,956
2866111,956
2866113,956
2866117,956
2866119,956
2866120,956
2866122,956
2866123,956
2866126,956
2866128,956
2866129,956
2866131,956
2866132,956
2866134,956
2866136,956
2866137,956
2866140,956
2866141,956
2866143,956
2866144,956
2866147,956
2866148,956
2866150,956
2866153,956
2866154,956
2866155,956
2866157,956
2866159,956
2866161,956
2866163,956
2866164,956
2866167,956
2866170,956
2866508,956
2866509,956
2866510,956
2866512,956
2866513,956
2866514,956
2866515,956
2809686,56948
2809688,56948
2809690,56948
2809691,56948
2813037,56948
2810066,56948
2810069,56948
2810071,56948
2810072,56948
2810073,56948
2810326,56948
2810328,56948
2810329,56948
2810331,56948
2810332,56948
2810338,56948
2810339,56948
2810340,56948
2810341,56948
2810343,56948
2810344,56948
2810345,56948
2811026,56948
2811027,56948
2811028,56948
2811031,56948
2811032,56948
2811033,56948
2811035,56948
2811038,56948
2811039,56948
2811515,56948
2811516,56948
2811518,56948
2811519,56948
2811520,56948
2811522,56948
2811535,56948
2811536,56948
2811537,56948
2811538,56948
2811539,56948
2811540,56948
2811542,56948
2811543,56948
2811544,56948
2811545,56948
2811546,56948
2811547,56948
2811548,56948
2811549,56948
2811550,56948
2811551,56948
2811552,56948
2811553,56948
2811554,56948
2811555,56948
2811556,56948
2811557,56948
2811558,56948
2811559,56948
2811560,56948
2811571,56948
2811572,56948
2811573,56948
2811574,56948
2811575,56948
2811577,56948
2811579,56948
2811582,56948
2811583,56948
2811586,56948
2811589,56948
2811592,56948
2811595,56948
2811598,56948
2812932,56948
2812933,56948
2812934,56948
2812935,56948
2812936,56948
2812937,56948
2812938,56948
2812939,56948
2812940,56948
2812942,56948
2812943,56948
2812944,56948
2812945,56948
2812946,56948
2812947,56948
2812948,56948
2812949,56948
2812950,56948
2812951,56948
2812952,56948
2813007,56948
2813009,56948
2813010,56948
2813012,56948
2813013,56948
2813014,56948
2813015,56948
2813016,56948
2813017,56948
2813018,56948
2813019,56948
2813020,56948
2813021,56948
2799062,78432
2799063,78432
2799064,78432
2799065,78432
2799068,78432
2799066,78432
2799256,78432
2799067,78432
2799069,78432
2799070,78432
